DIST,CODE,DATE_,TIME,RACE,SEX,LATINO,AGE,WOUND,FATAL,OFFICER_INVOLVED,OFFENDER_INJURED,OFFENDER_DECEASED,LOCATION
1,411,2021-01-23,12:58:00,B,M,0,23,Abdomen,0,N,N,N,2500 BLOCK S 28TH ST
1,411,2021-02-05,23:59:00,B,M,0,36,Multiple,0,N,N,N,2200 BLOCK SNYDER AVE
1,111,2021-02-12,23:12:00,W,M,1,23,Head,1,N,N,N,2300 BLOCK MOORE ST
1,411,2021-02-21,0:52:00,B,M,0,30,Leg,0,N,N,N,1800 BLOCK S 23RD ST
1,411,2021-03-04,10:25:00,B,M,0,28,Leg,0,N,N,N,2000 BLOCK SNYDER AVE
1,300,2021-03-14,22:03:00,W,M,0,27,Leg,0,N,N,N,1500 BLOCK RITNER ST
1,401,2021-04-29,20:40:00,B,M,0,35,Leg,0,N,N,N,1800 BLOCK S 21ST ST
1,401,2021-06-13,0:43:00,W,M,0,23,Leg,0,N,N,N,1800 BLOCK SNYDER AVE
1,401,2021-09-13,23:20:00,B,M,0,35,Head,0,N,N,N,2600 BLOCK JACKSON ST
1,401,2021-09-21,11:23:00,B,M,0,35,Leg,0,N,N,N,2500 BLOCK W PASSYUNK AVE
1,111,2021-09-21,23:33:00,B,M,0,27,Multiple/Head,1,N,N,N,2100 BLOCK MARSTON TERRACE
1,111,2021-09-21,23:33:00,B,F,0,52,Leg,0,N,N,N,2100 BLOCK MARSTON TERRACE
1,401,2021-09-24,20:55:00,B,M,0,14,Head,0,N,N,N,2100 BLOCK S 24TH ST
1,111,2021-09-25,21:27:00,B,M,0,28,Multiple,1,N,N,N,2200 BLOCK S BUCKNELL ST
1,111,2021-09-25,21:27:00,B,M,0,35,Multiple,0,N,N,N,2200 BLOCK S BUCKNELL ST
1,401,2021-10-06,19:45:00,W,M,0,60,Multiple,0,N,N,N,1900 BLOCK S CHADWICK ST
1,401,2021-11-03,2:39:00,A,M,0,52,Multiple,0,N,N,N,2200 BLOCK S 23RD ST
1,401,2021-11-03,2:39:00,A,F,0,47,Multiple,0,N,N,N,2200 BLOCK S 23RD ST
1,111,2021-11-14,20:26:00,B,M,0,22,Multiple,1,N,N,N,2100 BLOCK S BROAD ST
1,111,2021-11-16,17:11:00,B,M,0,26,Multiple,1,N,N,N,2100 BLOCK TANEY TERR
1,111,2021-12-03,16:49:00,B,M,0,29,Multiple,1,N,N,N,1700 BLOCK W PASSYUNK AVE
1,401,2021-12-08,12:21:00,B,M,0,45,Leg,0,N,N,N,1900 BLOCK S 23RD ST
1,401,2021-12-12,14:15:00,B,M,0,40,Multiple/Head,0,N,N,N,2500 BLOCK RITNER ST
1,401,2021-12-12,14:15:00,B,M,0,35,Multiple,0,N,N,N,2500 BLOCK RITNER ST
1,111,2021-12-27,5:15:00,W,F,0,52,Head,1,N,N,N,2300 BLOCK S BOUVIER ST
1,111,2021-12-30,17:13:00,B,M,0,32,Multiple,1,N,N,N,2100 BLOCK ETTING TERRACE
1,111,2021-12-30,17:13:00,B,M,0,32,Multiple,0,N,N,N,2100 BLOCK ETTING TERRACE
2,411,2021-01-13,16:49:00,B,M,0,20,Multiple,0,N,N,N,5500 BLOCK WHITAKER AVE
2,111,2021-01-20,18:44:00,W,F,1,52,Multiple/Head,1,N,N,N,900 BLOCK HARTEL ST
2,411,2021-01-30,12:39:00,B,M,0,40,Back,0,N,N,N,6700 BLOCK MARTINS MILL RD
2,411,2021-01-30,14:20:00,B,M,0,27,Multiple,0,N,N,N,1400 BLOCK STEVENS ST
2,411,2021-02-05,0:05:00,B,F,0,19,Hip,0,N,N,N,1400 BLOCK MCKINLEY ST
2,411,2021-02-05,0:05:00,B,M,0,29,Multiple,0,N,N,N,1400 BLOCK MCKINLEY ST
2,111,2021-02-07,19:51:00,W,F,1,24,Leg,1,N,N,N,500 BLOCK W HILL CREEK DR
2,111,2021-02-07,20:00:00,B,M,0,24,Multiple/Head,1,N,N,N,500 BLOCK W HILL CREEK DR
2,411,2021-03-03,13:46:00,B,M,0,17,Head,0,N,N,N,200 BLOCK HOWELL ST
2,411,2021-03-12,15:15:00,B,M,0,19,Multiple,0,N,N,N,900 BLOCK BRIGHTON ST
2,411,2021-03-12,19:49:00,B,F,0,35,Hip,0,N,N,N,600 BLOCK BENNER ST
2,411,2021-03-20,14:26:00,B,M,0,18,Unknown,0,N,N,N,1300 BLOCK ST VINCENT ST
2,111,2021-03-26,18:50:00,B,M,0,11,Neck,1,N,N,N,1500 BLOCK MCKINLEY ST
2,111,2021-03-26,18:50:00,W,M,1,14,Multiple,0,N,N,N,1500 BLOCK MCKINLEY ST
2,401,2021-05-02,17:21:00,B,M,0,19,Hand,0,N,N,N,4000 BLOCK ROOSEVELT BLVD
2,401,2021-05-22,23:43:00,B,M,0,27,Arm,0,N,N,N,1000 BLOCK BENNER ST
2,401,2021-05-27,23:29:00,B,M,0,29,Multiple,0,N,N,N,500 BLOCK E HILLCREEK DR
2,401,2021-05-29,21:00:00,B,M,0,33,Leg,0,N,N,N,900 BLOCK HIGBEE TERR
2,401,2021-06-05,1:41:00,B,F,0,36,Stomach,0,N,N,N,1000 BLOCK STEVENS TERR
2,401,2021-06-18,23:43:00,B,M,0,33,Leg,0,N,N,N,5900 BLOCK PALMETTO ST
